source,target
чудное,тягостная
мгновенье,вечность
мимолетное,неотступная
виденье,явь
гений,посредственность
чистой,порочной
красоты,безобразности
грусти,радости
безнадежной,обнадеживающей
тревогах,покое
шумной,безмолвной
суеты,умиротворения
голос,молчание
нежный,суровый
милые,отталкивающие
черты,безликость
бурь,штиля
порыв,покой
мятежный,покорный
прежние,нынешние
мечты,действительность
небесные,земные
мраке,свете
заточенья,освобожденья
без,с
божества,безбожия
вдохновенья,опустошения
слез,бесчувствия
жизни,смерти
любви,ненависти
душе,телу
настало,миновало
пробужденье,угасание
сердце,бесчувствие
бьется,замирает
в,вне
упоенье,отчаянье
воскресли,угасли
вновь,навсегда
божество,безбожие
вдохновенье,опустошение
жизнь,смерть
любовь,ненависть
